SerialNumber,y_debt,PC1_score_raw,PC1_score_oriented,PC2_score_raw,PC2_score_oriented,PC3_score_raw,PC3_score_oriented,PC4_score_raw,PC4_score_oriented
44,0,2.3540595688846873,2.3540595688846873,-3.219938929763004,3.219938929763004,-3.216654254000134,3.216654254000134,-8.779353302387946,8.779353302387946
46,0,-3.6913245163907193,-3.6913245163907193,0.6562722193163135,-0.6562722193163135,2.5346414524302534,-2.5346414524302534,1.9277189473862446,-1.9277189473862446
47,0,-4.823422075782786,-4.823422075782786,1.5974313953929216,-1.5974313953929216,1.617799842918543,-1.617799842918543,1.6106120280757554,-1.6106120280757554
48,0,-4.366387260833007,-4.366387260833007,2.6167379217926063,-2.6167379217926063,2.1769032580952348,-2.1769032580952348,2.4775874916963208,-2.4775874916963208
49,0,-8.228788396172195,-8.228788396172195,4.52131696087771,-4.52131696087771,-2.4670083813480552,2.4670083813480552,-0.38982175094371524,0.38982175094371524
50,0,-6.002749241464939,-6.002749241464939,4.154464138246518,-4.154464138246518,1.24704161180649,-1.24704161180649,3.091242693064671,-3.091242693064671
51,0,-5.084814698795917,-5.084814698795917,-0.4015016699264201,0.4015016699264201,-6.050119706428182,6.050119706428182,-2.2720890162790086,2.2720890162790086
52,0,-8.371588257737816,-8.371588257737816,2.222780819201171,-2.222780819201171,-3.6095658992499784,3.6095658992499784,0.3041161450852094,-0.3041161450852094
53,0,3.8658969304475823,3.8658969304475823,5.1028052464247375,-5.1028052464247375,2.2981930884007373,-2.2981930884007373,1.6267693847450166,-1.6267693847450166
54,0,-5.089705340815968,-5.089705340815968,0.9656829817428584,-0.9656829817428584,3.8328223144123807,-3.8328223144123807,2.2656405856410764,-2.2656405856410764
55,1,-6.822496351352269,-6.822496351352269,0.7478647797703224,-0.7478647797703224,-2.6237216945399022,2.6237216945399022,-4.1058101638703075,4.1058101638703075
56,0,-9.06639112236537,-9.06639112236537,2.8928076668142064,-2.8928076668142064,-3.1627559719754363,3.1627559719754363,-2.2023090212854997,2.2023090212854997
57,0,-7.979972927236873,-7.979972927236873,2.2426295216335395,-2.2426295216335395,-1.4921683388623124,1.4921683388623124,-2.4219938070244407,2.4219938070244407
58,0,-3.6468059715087238,-3.6468059715087238,5.631751743092788,-5.631751743092788,-0.29658529037761194,0.29658529037761194,5.241736874812771,-5.241736874812771
59,1,0.9090527701673842,0.9090527701673842,-0.015043328856125474,0.015043328856125474,4.07219464338486,-4.07219464338486,-2.187016582150921,2.187016582150921
61,1,-5.410518380679228,-5.410518380679228,1.7112496068886518,-1.7112496068886518,1.3460062029465452,-1.3460062029465452,1.1117561189387135,-1.1117561189387135
62,0,-6.857738539575598,-6.857738539575598,1.839116761951583,-1.839116761951583,-2.616355534129259,2.616355534129259,-3.256546292187188,3.256546292187188
63,0,-6.661203659944913,-6.661203659944913,2.752276594558527,-2.752276594558527,2.8356821900776623,-2.8356821900776623,1.79376481624485,-1.79376481624485
64,0,-8.638500433446533,-8.638500433446533,2.1701847255436246,-2.1701847255436246,-2.880711168473114,2.880711168473114,-1.7579130974791164,1.7579130974791164
65,0,-5.6823804215376255,-5.6823804215376255,1.765146396344518,-1.765146396344518,3.783992270753543,-3.783992270753543,2.0728437895792458,-2.0728437895792458
66,0,-0.23950964965330732,-0.23950964965330732,-4.384114550898066,4.384114550898066,4.696620149875165,-4.696620149875165,-1.916672156313973,1.916672156313973
67,0,4.120367316840161,4.120367316840161,-3.3544493655201126,3.3544493655201126,3.98695360864738,-3.98695360864738,-3.1043877337775236,3.1043877337775236
68,0,-7.500928713290783,-7.500928713290783,6.727155947210481,-6.727155947210481,-4.000710837085155,4.000710837085155,-1.1568067501895227,1.1568067501895227
69,0,-6.799042135908428,-6.799042135908428,-0.23888117211565404,0.23888117211565404,-2.2691268442677845,2.2691268442677845,-4.726049656812518,4.726049656812518
